Dataset_Food_Alternatives
Food Name,Food Name (Alternatives),Avg Energy (kcal),Avg Protein (g),Avg Fat (g),Avg Carbohydrate (g),Avg Fibre (g),Avg Total Sugar (g),Avg Saturated Fat (g),Avg Cholesterol (mg),Avg Calcium (mg),Avg Iron (mg),Avg Sodium (mg),Avg Potassium (mg),Avg Magnesium (mg),Avg Phosphorus (mg),Avg Thiamin (mg),Avg Riboflavin (mg),Avg Niacin (NE),Avg Folate (mcg DFE),Avg Vitamin A (mcg RAE),Avg Vitamin C (mg),Avg Vitamin B12 (mcg),Avg Vitamin D (mcg),Avg Vitamin E (mg),Avg Beta-carotene (mcg),Avg Lycopene (mcg),Avg Monounsaturated Fat (g),Avg Polyunsaturated Fat (g),Avg Trans Fat (g),Avg Alcohol (g),Avg Caffeine (mg),Avg DHA (g),Avg EPA (g)
Vegetables,"Veggies, greens, produce",35,2.5,0.4,6.5,3.5,3.0,0.1,0,98,7.5,9,684,144,25,0.56,0.0,2.0,54,700,23.1,1.36,7.99,1.2,1200,700,0.1,0.2,0.0,0.0,0,0.0,0.0
Leafy greens,"Lettuce, spinach, kale",23,2.8,0.4,3.6,3.2,1.2,0.1,0,24,6.8,823,716,73,291,0.38,0.12,7.1,114,359,67.2,0.09,6.95,2.1,1700,0,0.1,0.2,0.0,0.0,0,0.0,0.0
Root vegetables,"Tubers, potatoes, carrots, beets",75,1.7,0.1,17.0,3.4,5.2,0.0,0,52,2.5,797,771,16,256,0.34,0.47,4.9,167,560,2.0,4.57,2.72,0.2,400,0,0.0,0.1,0.0,0.0,0,0.0,0.0
Legumes,"Beans, lentils, peas",150,9.0,1.2,27.5,7.0,1.5,0.2,0,150,4.1,241,445,83,7,0.9,0.61,7.5,142,326,10.4,0.59,5.9,0.6,140,0,0.2,0.4,0.0,0.0,0,0.0,0.0
Mushrooms,"Fungi, portobello, shiitake",25,3.1,0.3,4.5,1.6,1.0,0.0,0,143,4.8,250,448,68,112,0.61,0.79,1.0,148,768,80.0,2.88,3.61,0.3,20,0,0.1,0.1,0.0,0.0,0,0.0,0.0
Fruit,"Produce, citrus, berries",60,0.7,0.3,15.0,2.8,12.0,0.0,0,56,0.9,876,487,33,354,0.24,0.11,5.4,174,735,17.9,1.37,0.92,0.7,500,300,0.1,0.2,0.0,0.0,0,0.0,0.0
Citrus,"Oranges, lemons, limes, grapefruit",45,0.9,0.2,11.0,2.4,9.0,0.0,0,38,5.3,4,799,5,252,0.5,0.85,3.8,52,140,65.3,2.77,9.17,0.3,800,600,0.1,0.1,0.0,0.0,0,0.0,0.0
Berries,"Strawberries, blueberries, raspberries",50,1.0,0.3,12.0,4.5,7.5,0.0,0,108,4.4,118,33,52,179,0.33,0.75,4.6,136,989,23.8,3.26,1.37,0.7,200,100,0.1,0.2,0.0,0.0,0,0.0,0.0
Dried fruit,"Raisins, dates, prunes",310,3.0,0.6,75.0,6.5,63.0,0.1,0,180,8.0,800,347,125,206,0.93,0.41,6.0,179,214,9.9,4.15,9.5,1.2,300,0,0.2,0.2,0.0,0.0,0,0.0,0.0
Bread,"Loaf, bun, toast",265,9.0,3.0,49.0,4.0,4.5,0.5,0,41,9.8,373,94,42,302,0.01,0.93,5.0,56,434,24.3,1.03,4.46,0.4,150,0,0.5,0.9,0.0,0.0,0,0.0,0.0
Pasta,"Spaghetti, macaroni, noodles",158,5.8,0.9,31.0,1.8,1.0,0.1,0,185,5.6,64,71,114,126,0.23,0.99,5.4,116,890,72.2,0.05,1.85,0.1,0,0,0.1,0.2,0.0,0.0,0,0.0,0.0
Noodles,"Ramen, soba, pasta",140,4.5,1.2,26.0,1.3,0.8,0.2,15,222,3.3,145,550,110,55,0.37,0.21,4.9,153,951,85.6,0.68,5.42,0.2,30,0,0.2,0.3,0.0,0.0,0,0.0,0.0
Cereal,"Grain, cornflakes, muesli",380,8.0,3.0,68.0,7.0,9.0,0.6,0,121,0.5,223,153,79,213,0.49,0.38,4.1,168,722,83.0,4.5,8.73,1.0,80,0,0.4,0.8,0.0,0.0,0,0.0,0.0
Tortilla,"Flatbread, wrap",290,6.0,4.0,46.0,3.5,1.5,0.9,2,132,9.3,238,249,94,13,0.85,0.93,7.7,34,317,39.7,4.37,7.32,0.5,50,0,1.0,1.2,0.0,0.0,0,0.0,0.0
Sauce,"Gravy, salsa, dip",100,1.2,4.0,13.0,1.0,6.0,1.0,5,162,9.2,176,673,117,27,0.09,0.72,0.1,62,31,66.8,2.99,8.07,0.5,400,500,1.0,1.0,0.0,0.0,0,0.0,0.0
Dressing,"Vinaigrette, ranch, sauce",180,1.2,16.0,4.0,0.5,3.0,2.0,10,214,2.6,778,437,143,77,0.81,0.05,6.0,24,669,20.5,3.0,6.59,2.0,200,150,8.0,3.0,0.1,0.0,0,0.0,0.0
Ketchup,"Tomato sauce, catsup",110,1.2,0.2,25.0,0.5,20.0,0.0,0,220,7.0,852,117,7,215,0.06,0.78,5.7,89,284,29.3,3.33,6.92,0.5,300,1500,0.1,0.1,0.0,0.0,0,0.0,0.0
Mayonnaise,"Mayo, aioli",680,0.8,75.0,0.5,0.0,0.3,11.5,42,234,0.8,281,770,131,385,0.84,0.83,7.2,74,304,89.6,0.88,8.49,9.0,60,0,20.0,29.0,0.8,0.0,0,0.0,0.0
Tofu,"Bean curd, soy protein",144,10.0,8.0,2.0,0.9,0.6,1.3,0,145,1.7,62,305,103,364,0.05,0.75,6.0,37,428,1.3,4.57,2.5,0.3,20,0,2.0,3.5,0.0,0.0,0,0.0,0.0
Tempeh,"Fermented soy, soy cake",195,19.0,11.0,9.4,7.0,0.5,2.2,0,238,2.2,216,267,131,153,0.02,0.8,8.3,129,476,8.6,2.09,4.89,0.4,30,0,2.0,4.5,0.0,0.0,0,0.0,0.0
Eggs,"Whole eggs, egg whites, yolk",155,13.0,11.0,1.1,0.0,1.1,3.3,373,75,3.0,853,53,24,13,0.7,0.83,9.6,134,285,20.8,1.92,2.21,1.0,60,0,4.1,1.9,0.04,0.0,0,0.05,0.01
Greens,"Leafy greens, salad greens",30,2.7,0.4,3.6,2.8,0.8,0.1,0,8,10.0,826,235,95,186,1.0,0.19,3.4,161,143,2.7,2.59,9.88,1.5,1500,100,0.1,0.2,0.0,0.0,0,0.0,0.0
Peas,"Legumes, pulses",84,5.4,0.4,15.0,5.5,5.7,0.1,0,73,7.0,794,388,92,311,0.9,0.24,2.3,90,423,18.1,0.23,9.44,0.1,450,0,0.1,0.2,0.0,0.0,0,0.0,0.0
Corn,"Maize, kernels",96,3.2,1.5,21.0,2.4,4.5,0.2,0,252,3.9,688,733,60,370,0.58,0.63,4.2,16,18,58.3,0.83,0.39,0.2,100,0,0.4,0.6,0.0,0.0,0,0.0,0.0
Squash,"Gourd, zucchini, pumpkin",25,1.0,0.1,6.0,1.3,2.8,0.0,0,229,7.4,460,762,121,6,0.92,0.91,2.9,127,17,42.1,3.69,7.06,0.2,1200,0,0.0,0.0,0.0,0.0,0,0.0,0.0
Melons,"Cantaloupe, watermelon, honeydew",36,0.8,0.2,8.6,0.9,7.9,0.0,0,6,9.2,928,400,50,2,0.01,0.32,6.1,170,768,89.3,0.41,9.25,0.1,460,450,0.05,0.1,0.0,0.0,0,0.0,0.0
Stone fruits,"Drupes, peaches, plums, cherries",48,0.9,0.3,11.2,1.9,9.2,0.03,0,173,9.6,609,623,146,110,0.98,0.59,9.1,186,589,81.7,3.02,1.81,0.7,640,0,0.08,0.12,0.0,0.0,0,0.0,0.0
Tropical fruits,"Mango, pineapple, banana, papaya",75,0.9,0.3,19.0,2.2,14.5,0.1,0,140,0.7,104,766,20,237,0.49,0.68,1.4,107,370,34.2,1.23,5.68,0.4,850,100,0.1,0.15,0.0,0.0,0,0.0,0.0
Rice,"Grain, white rice, brown rice, basmati",130,2.7,0.3,28.0,0.9,0.1,0.1,0,167,4.0,98,302,4,362,0.72,0.45,1.0,178,174,25.9,1.95,9.15,0.1,0,0,0.05,0.1,0.0,0.0,0,0.0,0.0
Quinoa,"Ancient grain, seed crop",120,4.1,1.9,21.3,2.8,0.9,0.2,0,169,1.2,510,206,91,238,0.82,0.71,2.6,181,193,38.0,1.44,0.34,0.6,0,0,0.6,0.8,0.0,0.0,0,0.0,0.0
Couscous,"Semolina, pasta grain",110,3.5,0.2,23.0,1.4,0.2,0.05,0,282,3.4,384,228,60,273,0.72,0.9,7.3,151,501,59.0,1.78,6.97,0.1,5,0,0.03,0.06,0.0,0.0,0,0.0,0.0
Polenta,"Cornmeal mush, grits",70,2.0,0.2,15.5,1.8,0.1,0.03,0,121,1.8,404,577,21,293,0.54,0.62,5.9,24,987,26.8,3.6,2.97,0.1,30,0,0.05,0.1,0.0,0.0,0,0.0,0.0
Oats,"Rolled oats, oatmeal, porridge",71,2.5,1.5,12.0,2.5,0.5,0.3,0,193,6.5,822,74,148,226,0.48,0.54,1.0,198,112,62.4,1.49,9.24,0.1,0,0,0.3,0.6,0.0,0.0,0,0.0,0.0
Crackers,"Biscuits, crispbread",440,8.5,14.0,67.0,4.5,2.2,1.5,0,4,3.9,517,434,69,370,0.84,0.44,9.2,179,113,40.9,2.83,9.71,1.2,40,0,5.0,3.2,0.1,0.0,0,0.0,0.0
Fries,"Chips (UK), French fries",312,3.4,15.0,41.4,3.8,0.3,1.6,0,28,2.4,475,102,0,14,0.21,0.58,7.9,197,221,55.2,2.38,9.44,1.4,0,0,6.0,3.5,0.2,0.0,0,0.0,0.0
Chips,"Crisps (UK), potato chips",536,6.5,34.6,53.0,3.7,0.4,3.6,0,164,2.7,976,421,132,191,0.97,0.36,0.2,87,677,43.6,3.32,4.74,1.5,0,0,10.0,10.5,0.2,0.0,0,0.0,0.0
Pickles,"Gherkins, brined vegetables",15,0.5,0.2,3.5,1.2,1.9,0.05,0,135,3.7,708,703,11,118,0.71,0.39,6.5,160,946,29.4,4.68,8.62,0.2,300,50,0.04,0.03,0.0,0.0,0,0.0,0.0
Nuts,"Almonds, cashews, tree nuts, peanuts",590,20.0,50.0,20.0,7.0,4.0,6.0,0,144,2.7,862,763,89,27,0.2,0.53,7.7,176,830,94.8,3.66,8.45,7.0,5,0,30.0,13.0,0.0,0.0,0,0.0,0.0
Ice cream,"Frozen dessert, gelato, sorbet",207,3.5,11.0,23.0,0.4,21.0,6.5,35,216,4.6,644,737,45,201,0.74,0.07,3.7,28,643,76.4,1.07,3.19,0.3,80,0,3.0,0.5,0.2,0.0,0,0.0,0.0
Cookies,"Biscuits, baked treats",488,6.0,22.0,66.0,2.3,28.0,9.0,35,131,0.4,869,305,33,38,0.53,0.23,0.7,62,896,14.0,0.16,8.29,1.2,150,0,7.0,3.0,0.3,0.0,5,0.0,0.0
Plant-based meat,"Meat substitute, vegan meat, mock meat",250,17.0,12.0,13.0,4.0,2.0,4.0,0,291,2.9,770,97,77,272,0.71,0.54,0.8,149,263,86.8,1.31,0.37,4.0,300,200,5.0,4.0,0.0,0.0,0,0.0,0.0
Plant-based milk,"Almond milk, soy milk, oat milk, nut milk",45,2.0,2.5,4.0,0.0,1.5,0.3,0,69,4.2,436,797,44,230,0.77,0.43,1.0,153,924,48.7,2.98,5.96,2.5,20,0,1.5,0.8,0.0,0.0,0,0.0,0.0
Gravy,"Sauce, meat sauce, jus",120,2.0,6.0,15.0,1.0,2.5,1.8,15,251,6.1,22,334,72,85,0.09,0.33,8.4,155,54,89.5,0.26,2.3,0.5,300,250,3.0,1.5,0.05,0.0,0,0.0,0.0
Soup,"Broth, stew, consommé",40,2.0,1.5,5.0,1.0,1.0,0.3,5,274,2.8,996,434,25,125,0.51,0.73,9.1,113,870,80.0,2.48,1.21,0.5,100,50,0.8,0.5,0.0,0.0,0,0.0,0.0
Stew,"Casserole, braise",150,12.0,8.0,10.0,3.0,3.0,3.0,45,181,1.4,564,446,46,299,0.93,0.69,1.2,48,642,42.5,2.98,0.77,1.0,1000,100,4.0,3.0,0.1,0.0,0,0.6,0.2
